iter	Passed	Remaining
895	4615	535
896	4620	530
897	4624	525
898	4628	520
899	4632	514
900	4636	509
901	4640	504
902	4645	498
903	4649	493
904	4655	488
905	4660	483
906	4667	478
907	4670	473
908	4675	468
909	4679	462
910	4684	457
911	4689	452
912	4693	447
913	4697	442
914	4702	436
915	4706	431
916	4710	426
917	4714	421
918	4717	415
919	4721	410
920	4725	405
921	4729	400
922	4733	394
923	4737	389
924	4741	384
925	4745	379
926	4749	374
927	4753	368
928	4757	363
929	4761	358
930	4765	353
931	4769	347
932	4773	342
933	4777	337
934	4781	332
935	4785	327
936	4789	322
937	4793	316
938	4797	311
939	4801	306
940	4805	301
941	4810	296
942	4814	291
943	4819	285
944	4823	280
945	4827	275
946	4831	270
947	4835	265
948	4839	260
949	4843	254
950	4848	249
951	4852	244
952	4856	239
953	4860	234
954	4864	229
955	4873	224
956	4877	219
957	4881	214
958	4886	208
959	4889	203
960	4894	198
961	4898	193
962	4902	188
963	4906	183
964	4910	178
965	4915	173
966	4919	167
967	4923	162
968	4928	157
969	4933	152
970	4939	147
971	4943	142
972	4947	137
973	4952	132
974	4957	127
975	4961	121
976	4966	116
977	4971	111
978	4975	106
979	4979	101
980	4983	96
981	4987	91
982	4991	86
983	4996	81
984	5000	76
985	5004	71
986	5008	65
987	5013	60
988	5017	55
989	5021	50
990	5026	45
991	5030	40
992	5034	35
993	5038	30
994	5043	25
995	5047	20
996	5051	15
997	5055	10
998	5060	5
999	5068	0
